phase,dataset,n,mode,k,topk,minlen,maxlen,rep,runtime_ms,patterns,pair_attempts,compatible_pairs,pdub_prunes,dub_prunes,aligned_checks,peak_heap_mb
ablation,DB3_Nasdaq.txt,12279,tk,8.1439856665852270e-05,50,2,12,6,4.283100,50,82,221,74,99,206420,222.063
ablation,DB3_Nasdaq.txt,12279,tk,8.1439856665852270e-05,50,2,12,7,3.847700,50,82,221,74,99,206420,224.206
ablation,DB3_Nasdaq.txt,12279,tk,8.1439856665852270e-05,50,2,12,8,4.117000,50,82,221,74,99,206420,228.202
ablation,DB3_Nasdaq.txt,12279,tk,8.1439856665852270e-05,50,2,12,9,5.906900,50,82,221,74,99,206420,230.064
ablation,DB4_SP500.txt,23046,tk-no-pdub,4.3391477913737744e-05,50,2,12,0,7.528100,50,81,224,0,197,414148,282.070
ablation,DB4_SP500.txt,23046,tk-no-pdub,4.3391477913737744e-05,50,2,12,1,7.877000,50,81,224,0,197,414148,286.074
ablation,DB4_SP500.txt,23046,tk-no-pdub,4.3391477913737744e-05,50,2,12,2,7.498800,50,81,224,0,197,414148,292.201
ablation,DB4_SP500.txt,23046,tk-no-pdub,4.3391477913737744e-05,50,2,12,3,7.404500,50,81,224,0,197,414148,298.065
ablation,DB4_SP500.txt,23046,tk-no-pdub,4.3391477913737744e-05,50,2,12,4,7.944400,50,81,224,0,197,414148,302.084
ablation,DB4_SP500.txt,23046,tk-no-pdub,4.3391477913737744e-05,50,2,12,5,8.135400,50,81,224,0,197,414148,308.201
ablation,DB4_SP500.txt,23046,tk-no-pdub,4.3391477913737744e-05,50,2,12,6,7.838200,50,81,224,0,197,414148,312.201
ablation,DB4_SP500.txt,23046,tk-no-pdub,4.3391477913737744e-05,50,2,12,7,7.583400,50,81,224,0,197,414148,318.066
ablation,DB4_SP500.txt,23046,tk-no-pdub,4.3391477913737744e-05,50,2,12,8,8.008100,50,81,224,0,197,414148,324.201
ablation,DB4_SP500.txt,23046,tk-no-pdub,4.3391477913737744e-05,50,2,12,9,7.870100,50,81,224,0,197,414148,328.201
